antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'strawberry charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'woodland charlotte bag', 'charlotte bag suki design'})",0.02170641352164853,0.019275295207223896,0.011692521416994674,0.5386666666666666,27.94596196196196,1.0,0.011274123888474822,2.1258483485392543,0.9856107289919572,0.3992094861660078,0.5295995593066949,0.5726366366366366
"frozenset({'red retrospot charlotte bag', 'woodland charlotte bag', 'charlotte bag suki design'})","frozenset({'strawberry charlotte bag', 'charlotte bag pink polkadot'})",0.019275295207223896,0.02170641352164853,0.011692521416994674,0.6066066066066065,27.945961961961956,1.0,0.011274123888474822,2.4868073610480224,0.9831674987129239,0.3992094861660078,0.5978779797488748,0.5726366366366366
"frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag', 'charlotte bag suki design'})","frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot'})",0.019043760129659644,0.02257467006251447,0.011692521416994674,0.613981762917933,27.197817785051825,1.0,0.01126261481531794,2.5320703429089186,0.9819320221985025,0.39071566731141194,0.6050662641342065,0.5659652404333255
"frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag', 'charlotte bag suki design'})",0.02257467006251447,0.019043760129659644,0.011692521416994674,0.5179487179487179,27.197817785051825,1.0,0.01126261481531794,2.034962412496982,0.9854792123769999,0.39071566731141194,0.5085904320105064,0.5659652404333255
"frozenset({'strawberry charlotte bag', 'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'charlotte bag suki design'})",0.015107663811067377,0.0290576522343135,0.011692521416994674,0.7739463601532567,26.634855215154705,1.0,0.011253528175899755,4.295185640116003,0.9772187033572591,0.36007130124777176,0.7671811922026746,0.5881683992001343
"frozenset({'red retrospot charlotte bag', 'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'charlotte bag suki design', 'strawberry charlotte bag'})",0.018638573743922204,0.023674461680944663,0.011692521416994674,0.6273291925465838,26.498139683214628,1.0,0.011251263217106726,2.6198068611561314,0.9805373188020702,0.3818525519848771,0.6182924723089336,0.5606083615544655
"frozenset({'red retrospot charlotte bag', 'charlotte bag pink polkadot', 'charlotte bag suki design'})","frozenset({'strawberry charlotte bag', 'woodland charlotte bag'})",0.018927992590877518,0.023327159064598285,0.011692521416994674,0.617737003058104,26.481450284942444,1.0,0.011250985123053737,2.554976151887011,0.9808023371220242,0.3825757575757575,0.6086069142909859,0.559488848923593
"frozenset({'strawberry charlotte bag', 'woodland charlotte bag'})","frozenset({'red retrospot charlotte bag', 'charlotte bag pink polkadot', 'charlotte bag suki design'})",0.023327159064598285,0.018927992590877518,0.011692521416994674,0.5012406947890818,26.48145028494244,1.0,0.011250985123053737,1.9670249700789868,0.9852201038274869,0.3825757575757575,0.49161804490979866,0.559488848923593
"frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag', 'woodland charlotte bag'})","frozenset({'charlotte bag suki design', 'charlotte bag pink polkadot'})",0.01875434128270433,0.023558694142162537,0.011692521416994674,0.6234567901234568,26.463979130645797,1.0,0.01125069362687771,2.5931719926060603,0.9806033576458165,0.3818525519848771,0.6143718955582927,0.5598856432189765
"frozenset({'charlotte bag suki design', 'strawberry charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'woodland charlotte bag'})",0.015570733966195878,0.028999768464922436,0.011692521416994674,0.7509293680297398,25.894322878406754,1.0,0.01124097373714609,3.89849346690949,0.97658768346406,0.3556338028169014,0.7434906564579304,0.5770614904020954
frozenset({'small marshmallows pink bowl'}),frozenset({'small dolly mix design orange bowl'}),0.025642509840240798,0.030099560083352628,0.019969900439916647,0.7787810383747178,25.87350234415697,1.0,0.01919807217429236,4.384345866153823,0.9866506181353569,0.5582524271844659,0.7719158044259743,0.7211212884181282
frozenset({'small dolly mix design orange bowl'}),frozenset({'small marshmallows pink bowl'}),0.030099560083352628,0.025642509840240798,0.019969900439916647,0.6634615384615384,25.873502344156968,1.0,0.01919807217429236,2.8952336850461418,0.9911846416252367,0.5582524271844659,0.6546047370321119,0.7211212884181282
frozenset({'wooden star christmas scandinavian'}),frozenset({'wooden heart christmas scandinavian'}),0.02865246584857606,0.030099560083352628,0.02188006482982172,0.7636363636363637,25.370349650349652,1.0,0.021017638212476295,4.103424938108893,0.9889188736694845,0.5934065934065934,0.7563011350072701,0.7452797202797203
frozenset({'wooden heart christmas scandinavian'}),frozenset({'wooden star christmas scandinavian'}),0.030099560083352628,0.02865246584857606,0.02188006482982172,0.726923076923077,25.370349650349652,1.0,0.021017638212476295,3.5570473081601452,0.9903943434619014,0.5934065934065934,0.7188679504751253,0.7452797202797203
"frozenset({'charlotte bag suki design', 'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag'})",0.016728409354017135,0.027726325538319056,0.011692521416994674,0.6989619377162629,25.209324501014944,1.0,0.011228704093506934,3.229736688729031,0.976670278436568,0.3568904593639576,0.6903772361723021,0.5603369187537472
"frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'charlotte bag suki design', 'woodland charlotte bag'})",0.01875434128270433,0.026105579995369298,0.011692521416994674,0.6234567901234568,23.882127508143768,1.0,0.01120292846037858,2.5864081318155763,0.9764401758722357,0.3525305410122163,0.6133634179003173,0.5356751799841231
"frozenset({'charlotte bag suki design', 'strawberry charlotte bag'})","frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot'})",0.023674461680944663,0.02257467006251447,0.012734429266033805,0.5378973105134475,23.827471631872612,1.0,0.012199986104678838,2.115169100235088,0.9812624975072358,0.379965457685665,0.527224560963539,0.5509999373080058
"frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'charlotte bag suki design', 'strawberry charlotte bag'})",0.02257467006251447,0.023674461680944663,0.012734429266033805,0.5641025641025641,23.82747163187261,1.0,0.012199986104678838,2.2398056467319503,0.980158388336761,0.379965457685665,0.5535326909015176,0.5509999373080058
"frozenset({'suki  shoulder bag', 'jam making set printed'})",frozenset({'dotcom postage'}),0.012618661727251679,0.0408659411900903,0.012097707802732114,0.9587155963302753,23.460015073940276,1.0,0.011582034314688605,23.232358313395604,0.9696094551603003,0.2923076923076923,0.9569565867351741,0.6273747953322765
"frozenset({'suki  shoulder bag', 'green regency teacup and saucer'})",frozenset({'dotcom postage'}),0.011055799953692984,0.0408659411900903,0.010592729798564482,0.9581151832460734,23.445322812690033,1.0,0.01014092412784746,22.89932565408663,0.9680501382512061,0.25630252100840334,0.9563305917778614,0.6086609910564644
"frozenset({'recycling bag retrospot', 'green regency teacup and saucer'})",frozenset({'dotcom postage'}),0.010592729798564482,0.0408659411900903,0.010071775874044918,0.9508196721311476,23.26679979566247,1.0,0.009638894001054265,19.502392529134852,0.9672662937237869,0.24335664335664337,0.9487242399358905,0.5986392978219477
"frozenset({'jam making set printed', 'dotcom postage'})",frozenset({'suki  shoulder bag'}),0.01713359573975457,0.030446862699699005,0.012097707802732114,0.7060810810810811,23.190602199157333,1.0,0.01157604356569166,3.298709524607921,0.9735596620848621,0.3409461663947798,0.6968511496571199,0.5517097420614532
"frozenset({'strawberry charlotte bag', 'woodland charlotte bag'})","frozenset({'charlotte bag suki design', 'charlotte bag pink polkadot'})",0.023327159064598285,0.023558694142162537,0.012734429266033805,0.5459057071960298,23.172154785058012,1.0,0.01218487186042536,2.150305170823544,0.9796983346174362,0.37288135593220345,0.5349497301273705,0.5432231238682852
"frozenset({'charlotte bag suki design', 'charlotte bag pink polkadot'})","frozenset({'strawberry charlotte bag', 'woodland charlotte bag'})",0.023558694142162537,0.023327159064598285,0.012734429266033805,0.5405405405405406,23.172154785058012,1.0,0.01218487186042536,2.12569971262411,0.9799306420060466,0.37288135593220345,0.5295666673607763,0.5432231238682852
"frozenset({'suki  shoulder bag', 'jumbo bag woodland animals'})",frozenset({'dotcom postage'}),0.010824264876128734,0.0408659411900903,0.010245427182218107,0.946524064171123,23.161685173683175,1.0,0.00980308341036427,17.935806899745312,0.967295511402088,0.24720670391061453,0.9442456084864406,0.5986161397342867
"frozenset({'suki  shoulder bag', 'red toadstool led night light'})",frozenset({'dotcom postage'}),0.011113683723084047,0.0408659411900903,0.010361194721000232,0.9322916666666667,22.81341477809254,1.0,0.009907023575567416,14.165672253192527,0.9669120965220815,0.24895688456189158,0.9294068094950715,0.5929163715769594
"frozenset({'green regency teacup and saucer', 'red toadstool led night light'})",frozenset({'dotcom postage'}),0.01157675387821255,0.0408659411900903,0.010650613567955545,0.9199999999999999,22.512634560906513,1.0,0.01017751862479636,11.98917573512386,0.9667725870023525,0.2548476454293629,0.9165914302957151,0.5903116147308781
"frozenset({'strawberry charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'charlotte bag suki design', 'woodland charlotte bag'})",0.02170641352164853,0.026105579995369298,0.012734429266033805,0.5866666666666667,22.472845528455284,1.0,0.012167770751431843,2.356196177430558,0.9767025619785811,0.36303630363036304,0.575587122337791,0.5372357723577236
"frozenset({'charlotte bag suki design', 'strawberry charlotte bag', 'woodland charlotte bag'})","frozenset({'red retrospot charlotte bag', 'charlotte bag pink polkadot'})",0.017365130817318823,0.029983792544570502,0.011692521416994674,0.6733333333333333,22.456576576576577,1.0,0.01117184893705886,2.969437369761519,0.9723546812739711,0.3279220779220779,0.6632358674463937,0.5316473616473616
"frozenset({'strawberry charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'charlotte bag suki design', 'red retrospot charlotte bag'})",0.02170641352164853,0.0290576522343135,0.014065755962028248,0.648,22.30049402390438,1.0,0.013435018546661985,2.758358942516155,0.9763510231332648,0.38328075709779186,0.6374656015261715,0.5660318725099602
frozenset({'set of 12 mini loaf baking cases'}),frozenset({'set of 12 fairy cake baking cases'}),0.025179439685112295,0.030967816624218568,0.017365130817318823,0.689655172413793,22.27006123106671,1.0,0.016585378546449692,3.122437035321962,0.9797666409358112,0.44776119402985076,0.679737336994247,0.6252014179825974
frozenset({'set of 12 fairy cake baking cases'}),frozenset({'set of 12 mini loaf baking cases'}),0.030967816624218568,0.025179439685112295,0.017365130817318823,0.5607476635514018,22.27006123106671,1.0,0.016585378546449692,2.219272339440276,0.9856191386416581,0.44776119402985076,0.5494018547303615,0.6252014179825974
"frozenset({'jumbo storage bag suki', 'green regency teacup and saucer'})",frozenset({'dotcom postage'}),0.011460986339430424,0.0408659411900903,0.010419078490391294,0.909090909090909,22.245686325006435,1.0,0.009950714496663701,10.55047464690899,0.9661201545848458,0.2486187845303867,0.9052175344269489,0.582024208086531
"frozenset({'suki  shoulder bag', 'recycling bag retrospot'})",frozenset({'dotcom postage'}),0.011981940263949989,0.0408659411900903,0.010882148645519797,0.9082125603864735,22.2241929082673,1.0,0.01039249537935004,10.449513167034283,0.9665855607340917,0.2593103448275862,0.9043017618127167,0.5872507561139166
"frozenset({'woodland charlotte bag', 'charlotte bag pink polkadot'})","frozenset({'red retrospot charlotte bag', 'strawberry charlotte bag'})",0.02257467006251447,0.027726325538319056,0.01389210465385506,0.6153846153846154,22.194957443391683,1.0,0.013266192002781637,2.5279115536003705,0.9770001776619684,0.3815580286168522,0.6044165395835337,0.5582142283603662
